Brand,Model Name,Price,Rating,SIM Type,Hybrid Sim Slot,Touchscreen,Display_size,Operating System,Processor Core,Internal Storage,Primary Camera,Secondary Camera,Network Type,Bluetooth Version,Wi-Fi,GPS Support,SIM Size,Battery Capacity,Width,Height,Weight,SIM Type,Hybrid Sim Slot,Dual Camera Lens,Color
APPLE,iPhone 13,52499,4.7,Dual Sim,No,Yes,6.1,iOS 15,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,3240 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Pink
POCO,C51,6499,4.1,Dual Sim,No,Yes,6.52,Android 13,Octa Core,64 GB,8MP Dual Rear Camera,5MP Front Camera,"2G, 3G, 4G, 4G VOLTE",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.75 mm,164.9 mm,192 g,Dual Sim,No,Primary Camera,Power Black
OnePlus,Nord CE 2 Lite 5G,17196,4.4,Dual Sim,No,Yes,6.59,Android 13,Octa Core,128 GB,64MP Rear Camera,16MP Front Camera,5G,,,,Nano Sim,5000 mAh,76.75 mm,164.9 mm,192 g,Dual Sim,No,,Black Dusk
realme,11x 5G,15999,4.3,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,76 mm,165.7 mm,190 g,Dual Sim,No,Primary Camera,Purple Dawn
realme,11x 5G,14999,4.4,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,76 mm,165.7 mm,190 g,Dual Sim,No,Primary Camera,Midnight Black
POCO,C55,8499,4.1,Dual Sim,No,Yes,6.71,Android 12,Octa Core,128 GB,50MP Dual Rear Camera,5MP Front Camera,"4G VOLTE, 4G, 3G, 2G",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.41 mm,168.76 mm,192 g,Dual Sim,No,,Power Black
APPLE,iPhone 13,52499,4.7,Dual Sim,No,Yes,6.1,iOS 15,Hexa Core,128 GB,12MP + 12MP,12MP Front Camera,"5G, 4G, 3G, 2G",v5.0,Yes,Yes,Nano + eSIM,3240 mAh,71.5 mm,146.7 mm,173 g,Dual Sim,No,Primary Camera,Starlight
POCO,C51,6499,4.1,Dual Sim,No,Yes,6.52,Android 13,Octa Core,64 GB,8MP Dual Rear Camera,5MP Front Camera,"2G, 3G, 4G, 4G VOLTE",v5.0,Yes,Yes,Nano Sim,5000 mAh,76.75 mm,164.9 mm,192 g,Dual Sim,No,Primary Camera,Royal Blue
vivo,T2x 5G,12999,4.4,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Marine Blue
MOTOROLA,g84 5G,19999,4.2,Dual Sim,No,Yes,6.55,Android 13,Octa Core,256 GB,50MP (OIS) + 8MP,16MP Front Camera,"2G, 3G, 4G, 5G",v5.1,Yes,Yes,Nano Sim,5000 mAh,74.4 mm,160 mm,168.3 g,Dual Sim,No,Primary Camera,Marshmallow Blue
vivo,T2x 5G,12999,4.4,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Glimmer Black
realme,11x 5G,15999,4.3,Dual Sim,No,Yes,6.72,Android 13,Octa Core,128 GB,64MP + 2MP,8MP Front Camera,"5G, 4G VOLTE, 4G, 3G, 2G",v5.2,Yes,Yes,Nano Sim,5000 mAh,76 mm,165.7 mm,190 g,Dual Sim,No,Primary Camera,Midnight Black
vivo,T2x 5G,12999,4.4,Dual Sim,Yes,Yes,6.58,Android 13,Octa Core,128 GB,50MP + 2MP,8MP Front Camera,"5G, 4G, 3G",v5.1,Yes,Yes,Nano Sim,5000 mAh,75.6 mm,164.05 mm,184 g,Dual Sim,Yes,Primary Camera,Aurora Gold
